company_id,status,exchange,ticker,symbol,stored_name,gurufocus_name,detail,gurufocus_url
3533,OK,NASDAQ,ACGL,ACGL,ARCH CAPITAL GROUP LTD,Arch Capital Group Ltd,name matches,https://www.gurufocus.com/stock/ACGL/summary
3534,OK,SAU,1180,SAU:1180,Saudi National Bank,Saudi National Bank,name matches,https://www.gurufocus.com/stock/SAU:1180/summary
3535,OK,TSE,8591,TSE:8591,ORIX CORP,ORIX Corp,name matches,https://www.gurufocus.com/stock/TSE:8591/summary
3536,OK,NASDAQ,RKLB,RKLB,ROCKET LAB CORP,Rocket Lab Corp,name matches,https://www.gurufocus.com/stock/RKLB/summary
3537,OK,NYSE,EQT,EQT,EQT CORP,EQT Corp,name matches,https://www.gurufocus.com/stock/EQT/summary
3538,OK,NYSE,PRU,PRU,PRUDENTIAL FINANCIAL INC,Prudential Financial Inc,name matches,https://www.gurufocus.com/stock/PRU/summary
3539,OK,OCSE,DANSKE,OCSE:DANSKE,Danske Bank AS,Danske Bank AS,name matches,https://www.gurufocus.com/stock/OCSE:DANSKE/summary
3540,OK,NYSE,RBLX,RBLX,Roblox Corp,Roblox Corp,name matches,https://www.gurufocus.com/stock/RBLX/summary
3541,OK,TPE,2383,TPE:2383,Elite Material Co Ltd,Elite Material Co Ltd,name matches,https://www.gurufocus.com/stock/TPE:2383/summary
3542,OK,NYSE,IRM,IRM,IRON MOUNTAIN INC,Iron Mountain Inc,name matches,https://www.gurufocus.com/stock/IRM/summary
3543,OK,SGX,U11,SGX:U11,UNITED OVERSEAS BANK LTD,United Overseas Bank Ltd,name matches,https://www.gurufocus.com/stock/SGX:U11/summary
3544,OK,NYSE,MTB,MTB,MT BANK CORP,M&T Bank Corp,name matches,https://www.gurufocus.com/stock/MTB/summary
3545,RESTRICTED,LSE,VOD,LSE:VOD,VODAFONE GROUP PLC,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/LSE:VOD/summary
3546,OK,NYSE,SYY,SYY,SYSCO CORP,Sysco Corp,name matches,https://www.gurufocus.com/stock/SYY/summary
